x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
10,7,8,4,93.6,250.4,755.8,7.3,21.5,60,3.2,0,42.87
9,5,8,6,93.6,275.8,821.1,8.7,22.3,46,5,0,12.18
3,5,8,7,93.6,183.3,615,8.6,21.9,52,2.7,0,16
4,5,9,7,92.5,98.7,752.5,12.4,21.6,57,5.9,0,24.59
6,6,3,4,92.9,20.9,32.6,9,12.6,50,5.9,0,0
7,5,8,5,96.8,229,708.7,13,24.3,36,3.6,0,28.74
8,5,8,5,96.8,229,708.7,13,24.3,36,3.6,0,0
8,5,2,1,86.7,11.5,60.3,5.1,8.5,73,6.8,0,9.96
9,7,9,5,93.1,93.3,740.1,8.2,21.7,48,3.2,0,30.18
2,4,9,7,93,278.3,827.1,8.1,22.9,45,4.5,0,70.76
3,5,3,2,95.4,17,27.6,12.4,16.2,21,8.1,0,0
7,6,2,1,86.1,6.6,48.7,3.2,6.3,70,2.3,0,0
5,6,2,7,87,11,58.9,4.5,11.1,64,2.3,0,51.78
5,4,9,7,92.5,98.7,752.5,12.4,21.4,57,5.4,0,3.64
6,7,8,7,93.6,183.3,615,8.6,25.3,35,4.1,0,3.63
2,3,8,6,95.7,233.1,717.1,9.4,26.9,34,3.6,0,0
10,6,6,3,95.3,51.5,299.7,15,29,36,5,0,0
10,6,6,3,95.3,51.5,299.7,15,29,36,5,0,8.16
4,5,9,4,93.1,90.2,733.7,9.3,23.8,48,4.5,0,4.95
10,10,8,5,96.8,229,708.7,13,26,38,4.5,0,0
9,7,8,4,92.7,196.1,645,7.8,22.3,43,4.1,0,0
3,5,9,3,89.9,86.8,727.1,4.7,22.8,36,2.7,0,6.04
3,3,8,2,96.6,214.1,682.9,10.5,28.9,29,2.7,0,0
7,6,9,6,89.1,293.3,862.6,5,18,69,5.4,0,3.95
5,6,2,6,86.7,10.2,57,3.9,15.2,48,4.5,0,0
5,4,9,5,92.3,292,857.3,8.4,20.9,46,3.6,0,7.8
2,5,7,2,94.3,98.2,452.2,13.1,24.4,33,5.9,0,0
7,4,2,5,86.1,9.3,54.8,3.7,15.7,44,3.2,0,0
8,5,2,5,86.6,5.2,45.6,4.3,9.2,55,9.9,0,4.62
10,5,7,1,94.3,94.1,444.1,10.8,23.8,29,5,0,1.63
8,6,8,6,95.7,233.1,717.1,9.4,27.4,35,4.1,0,0
6,5,8,7,95.6,237.1,725.1,11.1,25.1,52,4.5,0,0
9,7,8,4,96.8,224.4,700.6,14.9,28.5,29,5.4,0,746.28
7,4,7,2,94.7,166.1,577.8,9.9,27.3,41,3.6,0,7.02
7,6,3,3,95.4,19.3,30.3,10.9,14.8,26,6.3,0,0
3,5,8,7,94,205.2,666.5,9.1,25.9,44,5.9,0,2.44
3,6,8,7,93.6,183.3,615,8.6,25.8,38,4.5,0,3.05
9,9,8,3,93.7,193.4,637.9,8.8,27.2,38,5,0,185.76
3,5,8,3,97.2,219.7,692,19,31.8,21,5,0,0
9,7,7,7,90.9,265.1,797.9,6.2,30.3,29,4.1,0,6.3
2,4,9,6,93.2,96.3,746.4,9.4,23.3,50,4.5,0,0.72
9,7,8,6,95.7,233.1,717.1,9.4,27.9,33,4.1,0,4.96
3,3,8,4,93.6,250.4,755.8,7.3,21.4,58,2.7,0,0
9,7,8,4,93.6,250.4,755.8,7.3,21.4,58,2.7,0,0
3,5,8,1,94.1,209,674.6,9.2,28.9,35,2.7,0,2.35
2,4,8,4,96.8,224.4,700.6,14.9,27.2,36,6.3,0,0
4,5,8,7,93.6,183.3,615,8.6,25.6,46,4.5,0,3.2
8,5,9,4,91.7,289.2,851.3,7.8,20.4,47,4.1,0,0
2,4,8,6,94.1,180,607.3,10.6,24.3,42,4.5,0,6.36
9,7,8,4,96.8,224.4,700.6,14.9,24.9,40,7.2,0,0
3,5,8,7,95.6,237.1,725.1,11.1,21.9,68,5.4,0,15.34
2,5,8,5,92.6,271.8,813.2,6.5,23.2,47,4.1,0,0
3,6,7,6,92.8,86.7,378.6,6.6,24.8,53,2.3,0,0
9,7,8,1,94.1,209,674.6,9.2,27.8,37,1.8,0,0.54
9,7,8,6,91.4,255.6,770.4,10.7,15.2,75,3.2,0,0
3,6,8,6,95.7,233.1,717.1,9.4,24.6,55,4.5,0,6.43
2,4,9,5,93.1,93.3,740.1,8.2,20.1,48,2.7,0,0.33
6,5,9,5,92.3,292,857.3,8.4,17.2,60,4.1,0,0
9,7,8,1,94.1,209,674.6,9.2,26.5,31,2.3,0,1.23
7,6,4,1,89.9,26.9,43.6,4.7,11.9,66,3.6,0,3.35
2,3,7,5,92.7,82.9,370.3,17.8,15.8,80,8.5,0,0
3,6,9,5,92.3,292,857.3,8.4,17.2,60,4.1,0,9.96
6,6,8,7,96,49.9,102.7,11.7,18.3,82,5,0,0
7,6,8,7,94,205.2,666.5,9.1,20.1,72,2.7,0,0
4,5,3,3,95.4,19.3,30.3,10.9,9.9,37,8.5,0,0
8,5,9,3,91.7,286.9,846,11.1,11.5,79,4.5,0,0
8,5,8,7,93.6,183.3,615,8.6,20.3,63,5.4,0,0
5,6,8,3,97.2,219.7,692,19,24.4,51,5.9,0,6.43
2,5,8,5,92.5,198.8,651.9,17.3,12.8,90,5.4,0,9.71
8,5,8,1,93.5,240.2,732.6,8.5,18.7,67,4.5,0,0
5,6,8,4,91.4,268.2,805.3,6.6,18.4,56,3.6,0,0
4,5,8,4,93.6,250.4,755.8,7.3,17.8,58,3.6,0,0
4,5,7,1,96.6,162,569.2,17.7,18.9,50,3.2,0,0
3,5,8,4,93.6,250.4,755.8,7.3,17.6,61,3.2,0,0
2,5,8,3,93.7,193.4,637.9,8.8,20.9,52,4.5,0,82.75
9,7,8,6,95.7,233.1,717.1,9.4,19.9,66,5.4,0,3.32
8,5,8,6,93.6,275.8,821.1,8.7,16.5,74,8.5,0,1.94
3,6,8,6,95.7,233.1,717.1,9.4,19.9,66,5.4,0,0
9,7,8,6,95.7,233.1,717.1,9.4,19.9,66,5.4,0,0
2,5,9,7,93,278.3,827.1,8.1,15.5,78,8.1,0,3.71
7,6,2,2,77.1,6.4,18.2,2.9,5.6,84,6.8,0,5.39
7,5,2,2,77.1,6.4,18.2,2.9,6.1,79,5.9,0,2.14
3,3,2,6,81.5,5.6,17.3,2.8,5.6,61,1.4,0,6.84
7,6,3,1,89.2,17.1,38.9,8.1,11.2,47,6.3,0,3.18
4,5,3,3,92.2,20.5,43.1,8.3,12.2,43,5.9,0,5.55
7,6,3,4,93.3,22.6,45.5,9.5,14.3,29,4.1,0,6.61
7,4,4,7,93,16.6,27.6,13.3,14.7,35,9.9,0,61.13
6,5,4,7,93,16.6,27.6,13.3,18.6,29,6.3,0,0
5,4,5,5,91.6,27.4,75.7,6.7,19,42,4.5,0,38.48
9,4,6,1,90.2,98.2,231,5.7,15.3,81,4.5,0,1.94
5,4,6,4,95,105.8,318.7,11.8,27.4,37,3.2,0,10.08
3,6,6,4,95.7,123.7,352.2,19,23.7,42,9.9,0,3.19
5,4,7,4,95.5,87.3,397,10.9,28.2,30,1.8,0,1.76
5,4,7,7,95.7,103.3,425.4,15.7,27.1,47,4.5,0,7.36
8,5,7,7,95.7,103.3,425.4,15.7,19.2,84,5,0,2.21
8,5,7,1,91.2,105.9,433.6,7.4,23.6,59,5.4,0,278.53
10,10,7,4,95.2,116.4,562,10.5,31.2,27,5,0,2.75
5,4,7,4,95.2,116.4,562,10.5,31.2,24,5.4,0,0
4,5,8,7,96.9,132.3,589.1,15.1,24.4,42,6.3,0,1.29
9,7,8,7,96.9,132.3,589.1,15.1,32,29,5.9,0,0
3,5,8,1,97,137.5,598.3,22.3,31.6,30,4.1,0,2.07
6,5,8,2,97.1,143.3,607.8,18.7,25.1,45,6.8,0,2
6,5,8,2,97.1,143.3,607.8,18.7,27.4,36,4.1,0,16.4
5,5,8,2,97.1,143.3,607.8,18.7,20.4,73,8.1,0,46.7
5,5,8,3,97.1,143.3,607.8,18.7,21.6,60,1.8,0,0
5,5,8,3,97.1,143.3,607.8,18.7,29.7,35,4.5,0,0
5,5,8,4,97.8,154,626.1,14.8,33.4,23,5,0,0
2,4,8,5,97.9,160,635.6,12.3,33.4,29,2.7,0,0
2,4,8,5,97.9,160,635.6,12.3,28.5,31,5,0,43.32
7,7,8,6,98,166,645,15,31.8,32,5.4,0,8.59
7,7,8,1,98.2,177.5,663.8,17.8,24.9,44,2.7,0,0
5,6,8,1,98.2,177.5,663.8,17.8,33.6,28,3.6,0,2.77
4,5,8,2,98.1,183.1,673.2,15.3,33.3,29,2.7,0,14.68
7,6,8,2,98.1,183.1,673.2,15.3,34.3,28,3.2,0,40.54
8,6,8,2,98.1,183.1,673.2,15.3,28.3,65,5.4,6.4,10.82
9,7,8,2,98.1,183.1,673.2,15.3,22.6,67,5.4,0.8,0
8,6,8,2,98.1,183.1,673.2,15.3,22.6,67,5.4,0.8,0
5,5,8,2,98.1,183.1,673.2,15.3,21.7,71,5.4,0.4,0
3,5,8,3,96.5,141.4,691.1,21,30.2,32,5.4,0,1.95
5,4,8,3,96.5,141.4,691.1,21,29.9,31,5.4,0,49.59
2,3,8,4,93,165.2,746.4,11.1,27.7,37,2.3,0,5.8
2,3,8,5,93,168.9,754.6,8.1,19.5,75,9,0,0
3,5,8,5,93,168.9,754.6,8.1,26.9,43,4.1,0,0
2,3,8,5,93,168.9,754.6,8.1,26.9,43,4.1,0,0
7,6,8,5,93,168.9,754.6,8.1,19.2,64,5.9,0,0.43
9,7,8,7,83.6,58.7,667.6,2.9,28.8,37,3.2,0,0
5,4,8,7,83.6,58.7,667.6,2.9,28.8,34,3.2,0,6.44
8,5,8,7,83.6,58.7,667.6,2.9,22.2,72,7.2,0,11.16
2,5,8,6,96.4,148,616.7,12.3,26.6,44,4.5,0,0
7,4,11,2,81.5,5,108.7,2.1,12.8,33,5,0,0
